product_id,proper_name,proper_name_f,common_name,common_name_f,potency_amount,potency_unit_of_measure,potency_unit_of_measure_f,potency_constituent,quantity,quantity_minimum,quantity_maximum,quantity_unit_of_measure,quantity_unit_of_measure_f,ratio_numerator,ratio_denominator,dried_herb_equivalent,dhe_unit_of_measure,dhe_unit_of_measure_f,extract_type_desc,extract_type_desc_f,source_material,source_material_f
100013,Raphanus sativus var. sativus,Raphanus sativus var. sativus,Spanish Black Radish,Radis noir d'Espagne,,,,,400.0,,,mg,mg,10.0,1.0,4.0,g,g,,,Root juice,Jus de racine 
100014,"(2S)-7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one","(2S)-7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one",Hesperidin,Hesperidine,,,,,50.0,,,milligrams,milligramme,,,,,,,,Citrus sinensis - fruit,Citrus sinensis - fruit 
100014,"3-(O-6-deoxy-alpha-l-mannopyranosyl-(1-6)-beta-d-glucopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one","3-(O-6-désoxy-alpha-l-mannopyranosyl-(1-6)-bêta-d-glucopyranosyloxy)-2-(3,4-dihydroxyphényl)-5,7-dihydroxy-4H-chromen-4-one",Rutin,Rutine,,,,,50.0,,,milligrams,milligramme,,,,,,,,"Sophora japonica, flower bud","Sophora japonica, bourgeon floral "
100014,Althaea officinalis,Althaea officinalis,Marshmallow,Guimauve,,,,,36.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Arctium lappa,Arctium lappa,Burdock,Bardane,,,,,60.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Berberis vulgaris,Berberis vulgaris,European barberry,European barberry,,,,,73.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Citrus limon,Citrus limon,Lemon,Citron,50.0,%,%,Bioflavonoids,250.0,,,milligrams,milligramme,,,,,,,,Fruit,Fruit 
100014,Petroselinum crispum,Petroselinum crispum,Parsley,persil,,,,,35.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Petroselinum crispum,Petroselinum crispum,Parsley,persil,,,,,36.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Petroselinum crispum,Petroselinum crispum,Parsley,persil,,,,,9.0,,,milligrams,milligramme,,,,,,,,Leaf,Feuille 
100014,Raphanus sativus var. niger,Raphanus sativus var. niger,Black radish,Radis noir,,,,,109.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Raphanus sativus var. niger,Raphanus sativus var. niger,Black radish,Radis noir,,,,,60.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Rosa canina,Rosa canina,Dog rose,Rosier des chiens,,,,,250.0,,,milligrams,milligramme,,,,,,,,Hip,Hanche 
100014,Rubus idaeus,Rubus idaeus,Red raspberry,Framboise rouge,,,,,9.0,,,milligrams,milligramme,,,,,,,,Leaf,Feuille 
100014,Silybum marianum,Silybum marianum,Milk thistle,Chardon-Marie,80.0,%,%,Silymarin,125.0,,,milligrams,milligramme,,,,,,,,Seed(s),Graine(s) 
100014,Stachys officinalis,Stachys officinalis,Wood betony,betoine vulgaire,,,,,36.0,,,milligrams,milligramme,,,,,,,,Herb,Plante 
100014,Taraxacum officinale,Taraxacum officinale,Dandelion,Pissenlit,,,,,75.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Taraxacum officinale,Taraxacum officinale,Dandelion,Pissenlit,,,,,85.0,,,milligrams,milligramme,,,,,,,,Root,Racine 
100014,Verbascum thapsus,Verbascum thapsus,Mullein,molene,,,,,2.0,,,milligrams,milligramme,,,,,,,,Leaf,Feuille 
100014,Viburnum opulus,Viburnum opulus,Cramp bark,viorne,,,,,36.0,,,milligrams,milligramme,,,,,,,,Bark,Écorce 
100014,Vitamin C,Vitamine C,Vitamin C,Vitamine C,,,,,500.0,,,milligrams,milligramme,,,,,,,,Ascorbic acid,Acide ascorbique 
100014,Zingiber officinale,Zingiber officinale,Ginger,Gingembre,,,,,36.0,,,milligrams,milligramme,,,,,,,,Rhizome,Rhizome 
100014,Zingiber officinale,Zingiber officinale,Ginger,Gingembre,,,,,60.0,,,milligrams,milligramme,,,,,,,,Rhizome,Rhizome 
100015,Panax quinquefolius,Panax quinquefolius,American ginseng,Ginseng d'Amerique,,,,,500.0,,,milligrams,milligramme,,,,,,,,Panax quinquefolius root,Panax quinquefolius root 
100016,"2,5-Cyclohexadiene-1,4-dione, 2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-decamethyl-2,6,10,14,18,22,26,30,34,38-tetracontadecaenyl]-5,6-dimethoxy-3-methyl","2,5-Cyclohexadiène-1,4-dione, 2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-décaméthyl-2,6,10,14,18,22,26,30,34,38-tétracontadécaényl]-5,6-diméthoxy-3-méthyl",Co Q10,CoQ10,,,,,15.0,,,milligrams,milligramme,,,,,,,,Coenzyme Q10,Coenzyme Q10 
100016,Allium sativum,Allium sativum,Garlic,Ail,,,,,100.0,,,milligrams,milligramme,,,,,,,,Bulb,Bulbe 
